Game,k,Approximator,Variant,Budget,MSE_mean,MSE_std,MSE_min,MSE_max,MSE_se,Prec@10_mean,Prec@10_std,Prec@10_min,Prec@10_max,Prec@10_se,Runtime_mean,Runtime_std,Runtime_min,Runtime_max,Runtime_se
AdultCensusGlobalXAI,1,KernelSHAPIQ,,16,3.8582854060923486e+26,2.7282197744008977e+27,0.006227702847157754,1.9291427030461088e+28,3.858285406092215e+26,0.736,0.08270922757788648,0.6,0.9,0.011696851137404986,,,,,
AdultCensusGlobalXAI,1,KernelSHAPIQ,,50,0.004238052222632173,0.002882618566634349,0.0010436065037067745,0.015166269683641166,0.00040766382720827866,0.748,0.08141603913585722,0.6,0.9,0.011513966674062796,,,,,
AdultCensusGlobalXAI,1,KernelSHAPIQ,,100,0.0011514464907713402,0.0006035106035306223,0.00031233286864351846,0.003053534106957892,8.534928805489778e-05,0.778,0.0678834535458099,0.7,0.9,0.009600170066520827,,,,,
AdultCensusGlobalXAI,1,KernelSHAPIQ,,250,0.00043054035251492955,0.00018332746768706386,0.00017368138939829922,0.0009100711137501377,2.5926419115856104e-05,0.792,0.08290638930598236,0.6,1.0,0.011724734016390397,,,,,
AdultCensusGlobalXAI,1,KernelSHAPIQ,,500,0.00023349314139565068,7.891877412608744e-05,0.00011061145329127556,0.0004072359827306508,1.1160800069497178e-05,0.8360000000000001,0.08514093957572197,0.7,1.0,0.012040747146117418,,,,,
AdultCensusGlobalXAI,1,KernelSHAPIQ,,750,0.00021234549692292155,6.15270749716205e-05,6.058466688016673e-05,0.0003816474514993009,8.701242387801193e-06,0.852,0.07068181072487419,0.7,1.0,0.009995917534020515,,,,,
AdultCensusGlobalXAI,1,KernelSHAPIQ,,1000,0.0004211059298312635,0.00030214007825209356,8.747827546686796e-05,0.001766112680534244,4.2729059640057884e-05,0.7859999999999999,0.08573809193213522,0.6,0.9,0.012125197242241686,,,,,
AdultCensusGlobalXAI,1,KernelSHAPIQ,,2000,2.1869145719012506e-05,1.2175830509649323e-05,8.52004880518836e-06,6.693363020461003e-05,1.7219224639902188e-06,0.9179999999999999,0.06605501726683938,0.8,1.0,0.00934159012815532,,,,,
AdultCensusGlobalXAI,1,KernelSHAPIQ,,3500,8.77596446524012e-06,4.129334027186618e-06,2.3287380668883e-06,1.8221339911372744e-05,5.839760184816026e-07,0.9420000000000001,0.057463386746053606,0.8,1.0,0.008126550087615937,,,,,
AdultCensusGlobalXAI,1,KernelSHAPIQ,,5000,5.133392852433775e-06,2.6973005750107388e-06,1.3297627755733586e-06,1.1952263101781496e-05,3.814559054976934e-07,0.9440000000000001,0.05771145679064043,0.8,1.0,0.008161632489763255,,,,,
AdultCensusGlobalXAI,1,PermutationIQ,inverse_variance_weighting,16,,,,,,0.67,0.06144518047887591,0.6,0.8,0.008689660757568886,,,,,
AdultCensusGlobalXAI,1,PermutationIQ,inverse_variance_weighting,50,0.008102141964620158,0.003959068534334884,0.003014451480372165,0.027094843681890857,0.0005598968415620964,0.7440000000000001,0.0836903915192961,0.6,0.9,0.011835608672690278,,,,,
AdultCensusGlobalXAI,1,PermutationIQ,inverse_variance_weighting,100,0.003609536788239469,0.001775689149293815,0.0011694653071459276,0.007651687402948947,0.00025112036774900564,0.72,0.07559289460184548,0.6,0.9,0.010690449676496981,,,,,
